date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:04	42264/42264	U-----	200	untouched ('')	image/jpeg	etag:62cc332197afcb83ab43e1aa6f7a83da	http://nebula.wsimg.com/5fa6451410f151cc5480367b64ba5fed?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/5fa6451410f151cc5480367b64ba5fed3a45.jpg	(from http://www.thebandchanged.com/)
10:19:04	29953/29953	U--MCZ	200	updated ('OK')	text/html	etag:fc20650fb18cc79164f1565a3c4fdd9d	http://www.thebandchanged.com/band-bios.html	www.thebandchanged.com/band-bios.html	(from http://www.thebandchanged.com/)
10:19:04	130635/130635	U-----	200	untouched ('')	image/jpeg	etag:8eb5823516156f632e6d9ba30104a0ce	http://nebula.wsimg.com/b488187faa2c9ad4679cdfa93fdd4494?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/b488187faa2c9ad4679cdfa93fdd44943a45.jpg	(from http://www.thebandchanged.com/)
10:19:04	4156/4156	U-----	200	untouched ('')	image/jpeg	etag:c558325347d1b12f9db43936c673b26c	http://nebula.wsimg.com/d6793e6e451ec2127087618186151621?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/d6793e6e451ec21270876181861516213a45.jpg	(from http://www.thebandchanged.com/)
10:19:04	1061/1061	U-----	200	untouched ('')	image/jpeg	etag:146ab0f7552581812aed472c01035d27	http://nebula.wsimg.com/6406c2f3434c4985f8b8a75270641066?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/6406c2f3434c4985f8b8a752706410663a45.jpg	(from http://www.thebandchanged.com/)
10:19:05	5969/5969	U-----	200	untouched ('OK')	application/x-javascript	etag:%2202b9e6ff26d11:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	(from http://www.thebandchanged.com/)
10:19:05	964/964	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Oct%202017%2014:19:05%20GMT	http://www.thebandchanged.com/css!starfield/sf.core.css	www.thebandchanged.com/css!starfield/sf.core.html	(from http://img1.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1)
10:19:05	56956/56956	U-----	200	untouched ('')	image/jpeg	etag:5a2a13d6ec68bdc10d7b908dddd291c8	http://nebula.wsimg.com/54e2ec77fd073f5cdac202ea4919f132?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/54e2ec77fd073f5cdac202ea4919f1323a45.jpg	(from http://www.thebandchanged.com/about.html)
10:19:05	65084/65084	U-----	200	untouched ('')	image/jpeg	etag:9cb9f8a207db197b3f26f7d8f498a6be	http://nebula.wsimg.com/e810a778cbcae4115264739db6aa4d6b?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/e810a778cbcae4115264739db6aa4d6b3a45.jpg	(from http://www.thebandchanged.com/contact.html)
10:19:06	6388/6388	U-----	200	untouched ('')	image/jpeg	etag:cc25cb9ae0ff4643e2617546fe0b0a64	http://nebula.wsimg.com/a5632e062d12fa5a0f577f5ad9ea3d87?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/a5632e062d12fa5a0f577f5ad9ea3d873a45.jpg	(from http://www.thebandchanged.com/gallery.html)
10:19:06	76192/76192	U-----	200	untouched ('')	image/jpeg	etag:7c68449b8aea23bed78eed4ba03a4f62	http://nebula.wsimg.com/146ebe6d9d843d1c2e6c2bc46201bb32?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/146ebe6d9d843d1c2e6c2bc46201bb323a45.jpg	(from http://www.thebandchanged.com/upcoming-events.html)
10:19:06	34841/34841	U-----	200	untouched ('')	image/jpeg	etag:bedf3528ba846fd67cac5e1950a74cf7	http://nebula.wsimg.com/a47fae6bb1875442281df0145a51717a?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/a47fae6bb1875442281df0145a51717a3a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:06	34688/34688	U-----	200	untouched ('')	image/jpeg	etag:9229adad1e28087ec0bcdd68ef5cd1e1	http://nebula.wsimg.com/7b1ea131861163cd1002aa12e45e4e76?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/7b1ea131861163cd1002aa12e45e4e763a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:07	36222/36222	U-----	200	untouched ('')	image/jpeg	etag:c466275651ad7654bada656260d3511f	http://nebula.wsimg.com/37111c60246b8c223e85f034e9314f46?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/37111c60246b8c223e85f034e9314f463a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:07	37187/37187	U-----	200	untouched ('')	image/jpeg	etag:8e5a662a918376e7708314e1f7511b1d	http://nebula.wsimg.com/a650e70970c928add3a6b2b964f52460?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/a650e70970c928add3a6b2b964f524603a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:07	35040/35040	U-----	200	untouched ('')	image/jpeg	etag:d0ca0eea33c10f77477384b265e92784	http://nebula.wsimg.com/ae13e67e18f18201daff254303bc95f1?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/ae13e67e18f18201daff254303bc95f13a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:07	37910/37910	U-----	200	untouched ('')	image/jpeg	etag:5dc4f8a87478e3535ec98fe839128d07	http://nebula.wsimg.com/213fcc56cc5e5151a61f203d381b5937?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/213fcc56cc5e5151a61f203d381b59373a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:07	34940/34940	U-----	200	untouched ('')	image/jpeg	etag:c4848172d5f054aa323f6bdb81373742	http://nebula.wsimg.com/0df0a70c3334519070b157131b7398fa?AccessKeyId=9F6FAEB505B11BDC4A26&disposition=0&alloworigin=1	nebula.wsimg.com/0df0a70c3334519070b157131b7398fa3a45.jpg	(from http://www.thebandchanged.com/band-bios.html)
10:19:08	373/373	U-----	200	untouched ('')	image/png	etag:%223870ce2abe4dd31:0%22	https://img1.wsimg.com/wst/v7/WSB7_J_20171025_1113_WSB-16952_997/v2/images/wsb-slideshow-nav-arrows-sprt.png	img1.wsimg.com/wst/v7/WSB7_J_20171025_1113_WSB-16952_997/v2/images/wsb-slideshow-nav-arrows-sprt.png	(from http://www.thebandchanged.com/site.css?v=)
